<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	30	03/01/17	18:00:00	179.1900000	180.0000000	179.0200000	179.0200000	29199
3M	30	03/01/17	18:30:00	179.0200000	179.5300000	178.9800000	179.0800000	30194
3M	30	03/01/17	19:00:00	178.9600000	179.0300000	177.7500000	177.8500000	46833
3M	30	03/01/17	19:30:00	177.8400000	177.9500000	177.4900000	177.8000000	29712
3M	30	03/01/17	20:00:00	177.7400000	177.7500000	177.3100000	177.4800000	27617
3M	30	03/01/17	20:30:00	177.6000000	178.0000000	177.4800000	177.8200000	26169
3M	30	03/01/17	21:00:00	177.8100000	178.2200000	177.7600000	178.2200000	27491
3M	30	03/01/17	21:30:00	178.1400000	178.1400000	177.4400000	177.5000000	22955
3M	30	03/01/17	22:00:00	177.4937000	177.6200000	177.2600000	177.2900000	17653
3M	30	03/01/17	22:30:00	177.3000000	177.5400000	177.2500000	177.3400000	12037
3M	30	03/01/17	23:00:00	177.3700000	177.6600000	177.3300000	177.5600000	27310
3M	30	03/01/17	23:30:00	177.6100000	177.8300000	177.5708000	177.5800000	28364
3M	30	04/01/17	00:00:00	177.4900000	178.0700000	177.4500000	177.9700000	21342
3M	30	04/01/17	18:00:00	178.0300000	178.9000000	178.0300000	178.2300000	26789
3M	30	04/01/17	18:30:00	178.2400000	178.3000000	177.6600000	177.7900000	30137
3M	30	04/01/17	19:00:00	177.7800000	178.0600000	177.7300000	178.0400000	20561
3M	30	04/01/17	19:30:00	177.9800000	178.2900000	177.9800000	178.2848000	23288
3M	30	04/01/17	20:00:00	178.2600000	178.3500000	178.1600000	178.1800000	15623
3M	30	04/01/17	20:30:00	178.1850000	178.4600000	178.1600000	178.3900000	120337
3M	30	04/01/17	21:00:00	178.4400000	178.5000000	178.2600000	178.2900000	17384
3M	30	04/01/17	21:30:00	178.2900000	178.3010000	178.0300000	178.1300000	30228
3M	30	04/01/17	22:00:00	178.1500000	178.2350000	177.9200000	177.9200000	20837
3M	30	04/01/17	22:30:00	177.9600000	178.2100000	177.9260000	178.0200000	28615
3M	30	04/01/17	23:00:00	178.0500000	178.0500000	177.7800000	177.9180000	21062
3M	30	04/01/17	23:30:00	177.9400000	178.1200000	177.9100000	178.1200000	15857
3M	30	05/01/17	00:00:00	178.0600000	178.3600000	178.0500000	178.3200000	26118
3M	30	05/01/17	18:00:00	178.3900000	178.9400000	178.3200000	178.7200000	29073
3M	30	05/01/17	18:30:00	178.7500000	179.0500000	178.6363000	179.0500000	18651
3M	30	05/01/17	19:00:00	179.0600000	179.1200000	178.9500000	179.0400000	20658
3M	30	05/01/17	19:30:00	179.0300000	179.0601000	177.8900000	177.9300000	18792
3M	30	05/01/17	20:00:00	177.8700000	177.9000000	177.1500000	177.2000000	28262
3M	30	05/01/17	20:30:00	177.2400000	177.4400000	176.9100000	177.2500000	20464
3M	30	05/01/17	21:00:00	177.2300000	177.3500000	177.0700000	177.3200000	19736
3M	30	05/01/17	21:30:00	177.3000000	177.3300000	176.9800000	176.9900000	31220
3M	30	05/01/17	22:00:00	176.9900000	177.1000000	176.8900000	177.0300000	19995
3M	30	05/01/17	22:30:00	177.0400000	177.4050000	177.0000000	177.3900000	16836
3M	30	05/01/17	23:00:00	177.3410000	177.3600000	177.2000000	177.3160000	22041
3M	30	05/01/17	23:30:00	177.3200000	177.6000000	177.3200000	177.5300000	12633
3M	30	06/01/17	00:00:00	177.5300000	177.7500000	177.4700000	177.7000000	24005
3M	30	06/01/17	18:00:00	177.2900000	177.4500000	175.9000000	177.0300000	30057
3M	30	06/01/17	18:30:00	177.0400000	177.3400000	177.0200000	177.1400000	12663
3M	30	06/01/17	19:00:00	177.1300000	177.4500000	177.0000000	177.4200000	24191
3M	30	06/01/17	19:30:00	177.4000000	177.7800000	177.3550000	177.6900000	21809
3M	30	06/01/17	20:00:00	177.7300000	177.9700000	177.6300000	177.9400000	15983
3M	30	06/01/17	20:30:00	177.9500000	178.2800000	177.9500000	177.9900000	22516
3M	30	06/01/17	21:00:00	178.0200000	178.3200000	178.0200000	178.1500000	11646
3M	30	06/01/17	21:30:00	178.2100000	178.4100000	178.2100000	178.3200000	19985
3M	30	06/01/17	22:00:00	178.2700000	178.5700000	178.2300000	178.2300000	16114
3M	30	06/01/17	22:30:00	178.2600000	178.3600000	178.0100000	178.1105000	12623
