<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	D	03/01/17	00:00:00	179.1900000	179.9700000	177.2600000	177.9700000	80225
3M	D	04/01/17	00:00:00	178.7400000	178.7400000	177.6600000	178.3200000	55501
3M	D	05/01/17	00:00:00	178.3900000	179.1200000	176.9100000	177.7000000	65107
3M	D	06/01/17	00:00:00	177.2900000	178.5700000	175.9000000	178.2100000	89104
3M	D	09/01/17	00:00:00	178.3700000	178.3700000	177.2100000	177.3400000	40958
3M	D	10/01/17	00:00:00	177.3600000	177.4600000	176.3600000	176.5900000	56697
3M	D	11/01/17	00:00:00	176.9600000	178.3900000	176.5400000	177.7600000	55709
3M	D	12/01/17	00:00:00	176.8500000	177.6900000	175.7600000	177.5400000	39053
3M	D	13/01/17	00:00:00	177.6600000	177.8200000	176.9200000	177.3400000	82089
3M	D	17/01/17	00:00:00	177.2000000	177.6700000	176.3100000	177.2500000	84133
3M	D	18/01/17	00:00:00	178.1500000	179.4200000	177.5100000	178.4900000	87915
3M	D	19/01/17	00:00:00	179.4700000	179.7900000	177.8200000	178.6500000	64058
3M	D	20/01/17	00:00:00	179.2400000	179.4100000	177.8700000	178.4400000	71355
3M	D	23/01/17	00:00:00	177.9200000	178.9200000	177.1900000	178.4300000	78553
3M	D	24/01/17	00:00:00	177.2200000	177.6900000	174.5000000	176.0800000	154310
3M	D	25/01/17	00:00:00	177.0900000	178.6300000	176.5700000	176.5700000	158112
3M	D	26/01/17	00:00:00	176.4600000	177.1000000	176.3300000	176.7900000	137111
3M	D	27/01/17	00:00:00	177.5100000	177.9700000	177.0600000	177.4300000	100949
3M	D	30/01/17	00:00:00	176.7600000	177.5100000	174.9000000	175.4200000	67814
3M	D	31/01/17	00:00:00	175.1000000	175.4300000	173.8300000	174.8400000	62176
3M	D	01/02/17	00:00:00	175.1700000	175.7200000	174.3600000	175.1700000	94608
3M	D	02/02/17	00:00:00	174.2300000	174.7600000	173.5700000	174.1700000	165843
3M	D	03/02/17	00:00:00	174.4300000	175.2500000	173.9700000	174.9600000	204541
3M	D	06/02/17	00:00:00	174.0800000	176.1500000	174.0800000	175.0900000	61248
3M	D	07/02/17	00:00:00	175.9400000	176.1800000	175.1900000	175.7300000	43399
