<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	60	03/01/17	18:00:00	179.1900000	180.0000000	179.0200000	179.0200000	29199
3M	60	03/01/17	19:00:00	179.0200000	179.5300000	177.7500000	177.8500000	77027
3M	60	03/01/17	20:00:00	177.8400000	177.9500000	177.3100000	177.4800000	57329
3M	60	03/01/17	21:00:00	177.6000000	178.2200000	177.4800000	178.2200000	53660
3M	60	03/01/17	22:00:00	178.1400000	178.1400000	177.2600000	177.2900000	40608
3M	60	03/01/17	23:00:00	177.3000000	177.6600000	177.2500000	177.5600000	39347
3M	60	04/01/17	00:00:00	177.6100000	178.0700000	177.4500000	177.9700000	49706
3M	60	04/01/17	18:00:00	178.0300000	178.9000000	178.0300000	178.2300000	26789
3M	60	04/01/17	19:00:00	178.2400000	178.3000000	177.6600000	178.0400000	50698
3M	60	04/01/17	20:00:00	177.9800000	178.3500000	177.9800000	178.1800000	38911
3M	60	04/01/17	21:00:00	178.1850000	178.5000000	178.1600000	178.2900000	137721
3M	60	04/01/17	22:00:00	178.2900000	178.3010000	177.9200000	177.9200000	51065
3M	60	04/01/17	23:00:00	177.9600000	178.2100000	177.7800000	177.9180000	49677
3M	60	05/01/17	00:00:00	177.9400000	178.3600000	177.9100000	178.3200000	41975
3M	60	05/01/17	18:00:00	178.3900000	178.9400000	178.3200000	178.7200000	29073
3M	60	05/01/17	19:00:00	178.7500000	179.1200000	178.6363000	179.0400000	39309
3M	60	05/01/17	20:00:00	179.0300000	179.0601000	177.1500000	177.2000000	47054
3M	60	05/01/17	21:00:00	177.2400000	177.4400000	176.9100000	177.3200000	40200
3M	60	05/01/17	22:00:00	177.3000000	177.3300000	176.8900000	177.0300000	51215
3M	60	05/01/17	23:00:00	177.0400000	177.4050000	177.0000000	177.3160000	38877
3M	60	06/01/17	00:00:00	177.3200000	177.7500000	177.3200000	177.7000000	36638
3M	60	06/01/17	18:00:00	177.2900000	177.4500000	175.9000000	177.0300000	30057
3M	60	06/01/17	19:00:00	177.0400000	177.4500000	177.0000000	177.4200000	36854
3M	60	06/01/17	20:00:00	177.4000000	177.9700000	177.3550000	177.9400000	37792
3M	60	06/01/17	21:00:00	177.9500000	178.3200000	177.9500000	178.1500000	34162
3M	60	06/01/17	22:00:00	178.2100000	178.5700000	178.2100000	178.2300000	36099
3M	60	06/01/17	23:00:00	178.2600000	178.3600000	178.0000000	178.1200000	31057
3M	60	07/01/17	00:00:00	178.0700000	178.5000000	178.0700000	178.2100000	36989
3M	60	09/01/17	18:00:00	178.3700000	178.3700000	177.5600000	177.8400000	33910
3M	60	09/01/17	19:00:00	178.0500000	178.1300000	177.5300000	177.8601000	50209
3M	60	09/01/17	20:00:00	177.9000000	178.0500000	177.6500000	177.9200000	39459
3M	60	09/01/17	21:00:00	177.8900000	177.9400000	177.5000000	177.5700000	31365
3M	60	09/01/17	22:00:00	177.5900000	177.6000000	177.2100000	177.2400000	30680
3M	60	09/01/17	23:00:00	177.3000000	177.5500000	177.2600000	177.4100000	25081
3M	60	10/01/17	00:00:00	177.3900000	177.5000000	177.2600000	177.3400000	37156
3M	60	10/01/17	18:00:00	177.3600000	177.4100000	176.9500000	176.9800000	41073
3M	60	10/01/17	19:00:00	177.0900000	177.3300000	176.9150000	177.0300000	37499
3M	60	10/01/17	20:00:00	177.0400000	177.3300000	177.0300000	177.1700000	46145
3M	60	10/01/17	21:00:00	177.1601000	177.4600000	177.0800000	177.2400000	50903
3M	60	10/01/17	22:00:00	177.2600000	177.2800000	176.6600000	176.6600000	50274
3M	60	10/01/17	23:00:00	176.6000000	176.6600000	176.3101000	176.4800000	37807
3M	60	11/01/17	00:00:00	176.4900000	176.8800000	176.4700000	176.5900000	46650
3M	60	11/01/17	18:00:00	176.9600000	177.2997000	176.5400000	177.1900000	23994
3M	60	11/01/17	19:00:00	177.3800000	178.1014000	177.3100000	177.9350000	58709
3M	60	11/01/17	20:00:00	177.9400000	178.3900000	176.9300000	177.3900000	56348
3M	60	11/01/17	21:00:00	177.6100000	177.8900000	177.2000000	177.5110000	34299
3M	60	11/01/17	22:00:00	177.5200000	177.6900000	177.1800000	177.4700000	50860
3M	60	11/01/17	23:00:00	177.5100000	177.9690000	177.4600000	177.5925000	42449
3M	60	12/01/17	00:00:00	177.6100000	177.8600000	177.5800000	177.7600000	66798
3M	60	12/01/17	18:00:00	176.9700000	177.0750000	176.2200000	176.3500000	81776
3M	60	12/01/17	19:00:00	176.5200000	176.5800000	175.7600000	176.0900000	47245
3M	60	12/01/17	20:00:00	176.0300000	176.4000000	175.8500000	176.1200000	51326
3M	60	12/01/17	21:00:00	176.0800000	176.8500000	176.0500000	176.6400000	62041
3M	60	12/01/17	22:00:00	176.6800000	177.1500000	176.6800000	177.0300000	36037
3M	60	12/01/17	23:00:00	177.1000000	177.5300000	177.0100000	177.4700000	52618
3M	60	13/01/17	00:00:00	177.5200000	177.6900000	177.4300000	177.5400000	36273
3M	60	13/01/17	18:00:00	177.5800000	177.9100000	176.9200000	176.9500000	57421
3M	60	13/01/17	19:00:00	176.9500000	177.5700000	176.8800000	177.5439000	38139
3M	60	13/01/17	20:00:00	177.5600000	177.8400000	177.3900000	177.6600000	39942
3M	60	13/01/17	21:00:00	177.6600000	177.7700000	177.1800000	177.4300000	30497
3M	60	13/01/17	22:00:00	177.4400000	177.7200000	177.3700000	177.6500000	28997
3M	60	13/01/17	23:00:00	177.6400000	177.7400000	177.3500000	177.5800000	43018
3M	60	14/01/17	00:00:00	177.5500000	177.5500000	177.2300000	177.3400000	46488
3M	60	17/01/17	18:00:00	177.2000000	177.2000000	176.3050000	176.8600000	28671
3M	60	17/01/17	19:00:00	176.8200000	177.3300000	176.6400000	177.0800000	31852
3M	60	17/01/17	20:00:00	177.1100000	177.5500000	176.9200000	177.4500000	29866
3M	60	17/01/17	21:00:00	177.4900000	177.6700000	177.3800000	177.4700000	24108
3M	60	17/01/17	22:00:00	177.4600000	177.5300000	177.3200000	177.3200000	29647
3M	60	17/01/17	23:00:00	177.3000000	177.3800000	176.8000000	176.9200000	33690
3M	60	18/01/17	00:00:00	176.9200000	177.3000000	176.8000000	177.2500000	34088
3M	60	18/01/17	18:00:00	178.1500000	178.6400000	177.5100000	178.6400000	16495
3M	60	18/01/17	19:00:00	178.6100000	179.0900000	178.2250000	179.0500000	43529
3M	60	18/01/17	20:00:00	179.0600000	179.4400000	179.0600000	179.0900000	30170
3M	60	18/01/17	21:00:00	179.1100000	179.3200000	179.0400000	179.1100000	41080
3M	60	18/01/17	22:00:00	179.0600000	179.1400000	178.8800000	178.9400000	26890
3M	60	18/01/17	23:00:00	178.9500000	179.0000000	178.5600000	178.5600000	40606
3M	60	19/01/17	00:00:00	178.5200000	178.6500000	178.4000000	178.4900000	45204
3M	60	19/01/17	18:00:00	179.2500000	179.7900000	179.0100000	179.6100000	86664
3M	60	19/01/17	19:00:00	179.5800000	179.5900000	178.6300000	178.6900000	35277
3M	60	19/01/17	20:00:00	178.7000000	178.8900000	178.5800000	178.8300000	31842
3M	60	19/01/17	21:00:00	178.8100000	178.9600000	178.7101000	178.9550000	34336
3M	60	19/01/17	22:00:00	178.9500000	179.0800000	178.6900000	178.7700000	44447
3M	60	19/01/17	23:00:00	178.7700000	178.7800000	177.8200000	178.2600000	32990
3M	60	20/01/17	00:00:00	178.2400000	178.7800000	178.1600000	178.6500000	42343
3M	60	20/01/17	18:00:00	179.2400000	179.4100000	178.2200000	178.5600000	22136
3M	60	20/01/17	19:00:00	178.6000000	178.7500000	178.2300000	178.7400000	39163
3M	60	20/01/17	20:00:00	178.7800000	179.0100000	178.4800000	178.5300000	38698
3M	60	20/01/17	21:00:00	178.5400000	178.5700000	178.0000000	178.3515000	29672
3M	60	20/01/17	22:00:00	178.2800000	178.7000000	178.2400000	178.2600000	34759
3M	60	20/01/17	23:00:00	178.2510000	178.4500000	177.8500000	178.0700000	34279
3M	60	21/01/17	00:00:00	178.0200000	178.4900000	177.9400000	178.4400000	37108
3M	60	23/01/17	18:00:00	177.9200000	178.9200000	177.9100000	177.9200000	18394
3M	60	23/01/17	19:00:00	177.9000000	178.0100000	177.1900000	177.6900000	57126
3M	60	23/01/17	20:00:00	177.7100000	178.5500000	177.6700000	178.1500000	43572
3M	60	23/01/17	21:00:00	178.1100000	178.2400000	177.7800000	177.7800000	56753
3M	60	23/01/17	22:00:00	177.6800000	178.2750000	177.5500000	178.0600000	35112
3M	60	23/01/17	23:00:00	178.0400000	178.3000000	178.0000000	178.2400000	39046
3M	60	24/01/17	00:00:00	178.2500000	178.6000000	178.1400000	178.4300000	38553
3M	60	24/01/17	18:00:00	177.2200000	177.3000000	174.5000000	175.3900000	34085
