<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
America Express	D	02/01/19	00:00:00	94.0400000	96.2600000	93.8700000	95.6600000	343819
America Express	D	03/01/19	00:00:00	95.0000000	95.1700000	93.2400000	93.4000000	338822
America Express	D	04/01/19	00:00:00	95.3700000	98.3500000	94.9000000	97.6100000	334742
America Express	D	07/01/19	00:00:00	97.6500000	98.9100000	97.0400000	98.1700000	302131
America Express	D	08/01/19	00:00:00	98.6900000	99.5100000	97.5300000	98.6600000	259396
America Express	D	09/01/19	00:00:00	98.7400000	99.5700000	98.1600000	98.8300000	265591
America Express	D	10/01/19	00:00:00	98.3100000	98.6500000	97.8300000	98.2400000	358198
America Express	D	11/01/19	00:00:00	97.9600000	98.6700000	97.3700000	98.5400000	245711
America Express	D	14/01/19	00:00:00	97.8600000	99.0200000	97.6200000	98.4300000	279743
America Express	D	15/01/19	00:00:00	98.4200000	98.8600000	97.7400000	97.9900000	329780
America Express	D	16/01/19	00:00:00	98.7000000	99.9600000	98.5500000	99.4000000	358614
America Express	D	17/01/19	00:00:00	99.4600000	100.2400000	98.5700000	99.4900000	414636
America Express	D	18/01/19	00:00:00	98.0000000	100.5300000	96.4000000	100.5000000	842818
America Express	D	22/01/19	00:00:00	99.9400000	100.6500000	98.9700000	99.7000000	345083
America Express	D	23/01/19	00:00:00	99.9800000	100.0400000	98.4700000	99.7000000	276297
America Express	D	24/01/19	00:00:00	99.7900000	100.5400000	99.3800000	99.7400000	240861
America Express	D	25/01/19	00:00:00	100.3400000	101.5900000	100.0900000	100.7600000	254394
America Express	D	28/01/19	00:00:00	99.9600000	100.3900000	99.4800000	100.3900000	270291
America Express	D	29/01/19	00:00:00	100.8200000	101.4000000	100.5600000	100.9600000	172988
America Express	D	30/01/19	00:00:00	101.0700000	102.8500000	100.5500000	102.6800000	304351
America Express	D	31/01/19	00:00:00	102.6300000	102.9000000	102.0700000	102.7800000	222016
