<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
America Express	60	03/01/17	18:00:00	75.1400000	75.7400000	75.1400000	75.4700000	53685
America Express	60	03/01/17	19:00:00	75.4600000	75.7200000	74.9700000	74.9900000	47655
America Express	60	03/01/17	20:00:00	74.9600000	75.2200000	74.8800000	75.1000000	52482
America Express	60	03/01/17	21:00:00	75.1100000	75.1200000	74.7500000	74.8800000	37271
America Express	60	03/01/17	22:00:00	74.9100000	75.1900000	74.8300000	75.0700000	65066
America Express	60	03/01/17	23:00:00	75.0500000	75.1800000	74.9500000	75.0900000	55665
America Express	60	04/01/17	00:00:00	75.1100000	75.3300000	75.0200000	75.3200000	104438
America Express	60	04/01/17	18:00:00	75.2500000	75.5400000	75.1900000	75.3700000	35572
America Express	60	04/01/17	19:00:00	75.3800000	75.6500000	75.2400000	75.6100000	118126
America Express	60	04/01/17	20:00:00	75.6450000	75.6600000	75.3900000	75.4600000	81757
America Express	60	04/01/17	21:00:00	75.4600000	75.9500000	75.4600000	75.9400000	92913
America Express	60	04/01/17	22:00:00	75.9500000	76.2700000	75.9100000	76.2500000	72131
America Express	60	04/01/17	23:00:00	76.2500000	76.5500000	76.2300000	76.5200000	62312
America Express	60	05/01/17	00:00:00	76.5200000	76.5300000	76.2200000	76.2600000	97673
America Express	60	05/01/17	18:00:00	76.0500000	76.1600000	75.7700000	75.9500000	25416
America Express	60	05/01/17	19:00:00	75.9600000	75.9800000	75.4400000	75.5050000	48189
America Express	60	05/01/17	20:00:00	75.4800000	75.5000000	74.8300000	74.8500000	67032
America Express	60	05/01/17	21:00:00	74.8850000	75.2200000	74.8850000	75.1850000	42637
America Express	60	05/01/17	22:00:00	75.2100000	75.3800000	75.1700000	75.2400000	61306
America Express	60	05/01/17	23:00:00	75.2300000	75.4000000	75.1800000	75.2000000	54819
America Express	60	06/01/17	00:00:00	75.2000000	75.3400000	75.1300000	75.3300000	70527
America Express	60	06/01/17	18:00:00	75.4000000	75.8500000	75.0900000	75.2500000	72700
America Express	60	06/01/17	19:00:00	75.2600000	75.4800000	75.1100000	75.4100000	48904
America Express	60	06/01/17	20:00:00	75.4100000	75.7400000	75.3800000	75.6200000	32670
America Express	60	06/01/17	21:00:00	75.6200000	75.8000000	75.5600000	75.7650000	34484
America Express	60	06/01/17	22:00:00	75.7650000	75.9150000	75.7200000	75.7400000	49901
America Express	60	06/01/17	23:00:00	75.7400000	75.7900000	75.6500000	75.7200000	67885
America Express	60	07/01/17	00:00:00	75.7200000	75.7700000	75.4500000	75.4600000	59969
America Express	60	09/01/17	18:00:00	76.1000000	76.1000000	75.5300000	75.9200000	42491
America Express	60	09/01/17	19:00:00	75.9300000	76.0600000	75.6500000	76.0500000	69704
America Express	60	09/01/17	20:00:00	76.0500000	76.1800000	75.8700000	76.0250000	64337
America Express	60	09/01/17	21:00:00	76.0000000	76.4600000	76.0000000	76.4600000	63298
America Express	60	09/01/17	22:00:00	76.4700000	76.4900000	76.1500000	76.2200000	50597
America Express	60	09/01/17	23:00:00	76.2300000	76.2500000	75.8900000	75.9900000	51496
America Express	60	10/01/17	00:00:00	75.9900000	76.1000000	75.8250000	75.8600000	81157
America Express	60	10/01/17	18:00:00	76.4400000	77.4900000	76.1400000	77.2700000	62321
America Express	60	10/01/17	19:00:00	77.2800000	77.5800000	76.6200000	77.0000000	110987
America Express	60	10/01/17	20:00:00	77.0150000	77.6500000	77.0100000	77.6500000	127610
America Express	60	10/01/17	21:00:00	77.6500000	78.0000000	77.6500000	77.7900000	97187
America Express	60	10/01/17	22:00:00	77.7900000	77.8900000	77.1800000	77.1950000	48622
America Express	60	10/01/17	23:00:00	77.1900000	77.1900000	76.8300000	76.8500000	60726
America Express	60	11/01/17	00:00:00	76.8500000	76.9600000	76.5900000	76.6600000	109146
America Express	60	11/01/17	18:00:00	76.6700000	76.9800000	76.1000000	76.9700000	49927
America Express	60	11/01/17	19:00:00	76.9600000	77.4300000	76.8300000	77.1200000	77098
